     y         <u>         <v>          <w>       <u^2>       <v^2>       <w^2> 
    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
    0.005556    0.042925    0.000000   -0.000271    0.002091    0.000000    0.000055
    0.011117    0.085538    0.000000   -0.000543    0.008303    0.000001    0.000179
    0.016691    0.127557    0.000000   -0.000817    0.018438    0.000005    0.000329
    0.022282    0.168542    0.000000   -0.001095    0.032088    0.000013    0.000483
    0.027896    0.207987    0.000000   -0.001377    0.048625    0.000025    0.000633
    0.033541    0.245428    0.000000   -0.001663    0.067287    0.000043    0.000773
    0.039221    0.280515    0.000000   -0.001949    0.087289    0.000065    0.000904
    0.044944    0.313038    0.000000   -0.002231    0.107919    0.000093    0.001026
    0.050715    0.342921    0.000000   -0.002501    0.128583    0.000125    0.001141
    0.056542    0.370199    0.000000   -0.002751    0.148832    0.000161    0.001249
    0.062431    0.394986    0.000000   -0.002974    0.168347    0.000202    0.001351
    0.068390    0.417444    0.000000   -0.003161    0.186925    0.000245    0.001447
    0.074426    0.437765    0.000000   -0.003306    0.204453    0.000292    0.001538
    0.080547    0.456149    0.000000   -0.003407    0.220886    0.000342    0.001622
    0.086761    0.472795    0.000000   -0.003461    0.236229    0.000393    0.001700
    0.093077    0.487897    0.000000   -0.003469    0.250522    0.000446    0.001772
    0.099504    0.501633    0.000000   -0.003436    0.263829    0.000500    0.001839
    0.106051    0.514170    0.000000   -0.003366    0.276224    0.000554    0.001900
    0.112728    0.525660    0.000000   -0.003267    0.287793    0.000609    0.001956
    0.119547    0.536238    0.000000   -0.003146    0.298621    0.000664    0.002006
    0.126518    0.546023    0.000000   -0.003008    0.308789    0.000717    0.002051
    0.133654    0.555116    0.000000   -0.002857    0.318372    0.000770    0.002088
    0.140967    0.563601    0.000000   -0.002699    0.327434    0.000821    0.002119
    0.148472    0.571547    0.000000   -0.002533    0.336028    0.000870    0.002143
    0.156184    0.579015    0.000000   -0.002362    0.344203    0.000917    0.002162
    0.164118    0.586056    0.000000   -0.002185    0.352001    0.000961    0.002175
    0.172291    0.592720    0.000000   -0.002003    0.359465    0.001003    0.002184
    0.180722    0.599054    0.000000   -0.001816    0.366636    0.001042    0.002189
    0.189431    0.605102    0.000000   -0.001625    0.373555    0.001078    0.002192
    0.198440    0.610904    0.000000   -0.001432    0.380263    0.001111    0.002191
